complex,fragment,attract_hits,autodock_hits
1gmn,1,34,4
1gmn,2,45,3
1gmn,3,15,0
2hyv,1,7,2
2hyv,2,1,2
2hyv,3,0,0
1axm,1,20,4
1axm,2,1,3
1axm,3,9,0
1axm,4,8,0
1bfc,1,0,0
1bfc,2,0,0
1bfc,3,22,4
1bfc,4,98,26
1fq9,1,0,0
1fq9,2,0,0
1fq9,3,0,2
1fq9,4,0,3
1xmn,1,14,1
1xmn,2,18,3
1xmn,3,53,13
1xmn,4,17,3
3c9e,1,0,0
3c9e,2,0,1
3c9e,3,0,0
3c9e,4,0,2
3mpk,1,0,0
3mpk,2,0,1
3mpk,3,0,0
3mpk,4,0,2
4ak2,1,7,1
4ak2,2,0,1
4ak2,3,3,2
4ak2,4,0,0
4c4n,1,0,1
4c4n,2,3,3
4c4n,3,0,0
4c4n,4,0,2
2jcq,1,13,5
2jcq,2,24,5
2jcq,3,4,1
2jcq,4,0,0
2jcq,5,0,0
3ina,1,9,1
3ina,2,9,1
3ina,3,1,0
3ina,4,2,0
3ina,5,2,0
1rid,1,0,0
1rid,2,1,0
1rid,3,2,0
1rid,4,0,0
1rid,5,0,0
1rid,6,0,0
