complex,fragment,attract_hits,autodock_hits
4ak2,1,2,0
4ak2,2,1,0
4ak2,3,0,0
4ak2,4,0,0
3mpk,1,0,0
3mpk,2,2,1
3mpk,3,26,4
3mpk,4,8,1
1fq9,1,0,0
1fq9,2,0,0
1fq9,3,0,3
1fq9,4,0,0
1xmn,1,0,0
1xmn,2,0,0
1xmn,3,1,0
1xmn,4,1,0
2jcq,1,8,1
2jcq,2,17,3
2jcq,3,1,0
2jcq,4,0,0
2jcq,5,0,0
1bfc,1,0,0
1bfc,2,0,0
1bfc,3,3,2
1bfc,4,94,22
1axm,1,0,3
1axm,2,0,0
1axm,3,1,0
1axm,4,0,0
1rid,1,0,0
1rid,2,1,0
1rid,3,0,0
1rid,4,0,0
1rid,5,0,0
1rid,6,0,0
4c4n,1,0,0
4c4n,2,0,0
4c4n,3,0,0
4c4n,4,0,0
3c9e,1,5,0
3c9e,2,1,0
3c9e,3,0,0
3c9e,4,0,0
3ina,1,0,0
3ina,2,5,0
3ina,3,1,0
3ina,4,1,0
3ina,5,0,0
1fqp,1,14,4
1fqp,2,4,0
1fqp,3,6,0
1fqp,4,0,0
